$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:172.     

JDAY,T(C)
 37770.042,  -99.00
 37770.084,  -99.00
 37770.126,  -99.00
 37770.167,  -99.00
 37770.209,  -99.00
 37770.250,  -99.00
 37770.292,  -99.00
 37770.333,  -99.00
 37770.377,  -99.00
 37770.417,  -99.00
 37770.459,  -99.00
 37770.500,  -99.00
 37770.543,  -99.00
 37770.584,  -99.00
 37770.627,  -99.00
 37770.669,  -99.00
 37770.709,  -99.00
 37770.751,  -99.00
 37770.792,  -99.00
 37770.834,  -99.00
 37770.877,  -99.00
 37770.919,  -99.00
 37770.959,  -99.00
 37771.000,  -99.00
 37771.042,  -99.00
 37771.084,  -99.00
 37771.126,  -99.00
 37771.168,  -99.00
 37771.210,  -99.00
 37771.250,  -99.00
 37771.292,  -99.00
 37771.335,  -99.00
 37771.376,  -99.00
 37771.418,  -99.00
 37771.460,  -99.00
 37771.500,  -99.00
 37771.542,  -99.00
 37771.584,  -99.00
 37771.625,  -99.00
 37771.667,  -99.00
 37771.709,  -99.00
 37771.751,  -99.00
 37771.793,  -99.00
 37771.835,  -99.00
 37771.876,  -99.00
 37771.918,  -99.00
 37771.960,  -99.00
 37772.000,  -99.00
 37772.042,  -99.00
 37772.084,  -99.00
 37772.126,  -99.00
 37772.168,  -99.00
 37772.209,  -99.00
 37772.250,  -99.00
 37772.292,  -99.00
 37772.333,  -99.00
 37772.376,  -99.00
 37772.418,  -99.00
 37772.460,  -99.00
 37772.500,  -99.00
 37772.542,  -99.00
 37772.585,  -99.00
 37772.627,  -99.00
 37772.667,  -99.00
 37772.709,  -99.00
 37772.751,  -99.00
 37772.794,  -99.00
 37772.834,  -99.00
 37772.876,  -99.00
 37772.918,  -99.00
 37772.961,  -99.00
 37773.000,  -99.00
 37773.042,  -99.00
 37773.084,  -99.00
 37773.125,  -99.00
 37773.169,  -99.00
 37773.208,  -99.00
 37773.250,  -99.00
 37773.292,  -99.00
 37773.335,  -99.00
 37773.377,  -99.00
 37773.417,  -99.00
 37773.459,  -99.00
 37773.500,  -99.00
